Country Name,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015
Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,,1.224148084,4.0,8.26
Afghanistan,AFG,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Afghanistan,AFG,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,16.0,16.0,16.0,16.0
Afghanistan,AFG,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,1404432.0,1722492.0,2073465.0,2544975.0
Afghanistan,AFG,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,672629.0,834710.0,1007190.0,1236409.0
Afghanistan,AFG,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,2772175.0,3416350.0,3830268.0,1992448.0
Afghanistan,AFG,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,1353470.0,1659815.0,1865142.0,973184.0
Afghanistan,AFG,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,3355122.0,4145879.0,5003108.0,5661298.0
Afghanistan,AFG,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,2650420.0,3292878.0,3839021.0,4850112.0
Afghanistan,AFG,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,1383005.0,1701047.0,1977204.0,2493840.0
Afghanistan,AFG,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,506868.0,614080.0,762231.0,895299.0
Afghanistan,AFG,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,1245988.0,1570386.0,1765556.0,2305137.0
Afghanistan,AFG,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,594786.0,757121.0,854627.0,1119863.0
Afghanistan,AFG,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,3.0,3.0,3.0
Afghanistan,AFG,Theoretical duration of pre-primary education (years),UIS.THDUR.0,4.0,4.0,4.0,2.0
Albania,ALB,Internet users (per 100 people),IT.NET.USER.P2,0.114097347,6.043890864,45.0,63.2529327
Albania,ALB,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Albania,ALB,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,14.0,14.0,15.0,15.0
Albania,ALB,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,271589.0,263878.0,224328.0,172470.0
Albania,ALB,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,133657.0,128367.0,108210.0,83255.0
Albania,ALB,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,186997.0,149590.0,105952.0,93106.0
